Tailwater,Headwater,Flow
0.70,1.89,160.00
0.70,2.03,180.00
0.70,2.16,200.00
0.70,2.29,220.00
0.70,2.42,240.00
0.70,2.55,260.00
0.70,2.67,280.00
0.70,2.79,300.00
0.70,2.90,320.00
0.70,3.02,340.00
0.70,3.13,360.00
0.70,3.24,380.00
0.70,3.35,400.00
0.70,3.46,420.00
0.70,3.57,440.00
0.70,3.67,460.00
0.70,3.78,480.00
0.70,3.88,500.00
0.70,3.98,520.00
0.70,4.09,540.00
0.70,4.19,560.00
0.70,4.29,580.00
0.70,4.39,600.00
0.70,4.49,620.00
0.80,0.80,0.00
0.80,0.84,20.00
0.80,0.95,40.00
0.80,1.10,60.00
0.80,1.26,80.00
0.80,1.43,100.00
0.80,1.59,120.00
0.80,1.74,140.00
0.80,1.89,160.00
0.80,2.03,180.00
0.80,2.16,200.00
0.80,2.29,220.00
0.80,2.42,240.00
0.80,2.55,260.00
0.80,2.67,280.00
0.80,2.79,300.00
0.80,2.90,320.00
0.80,3.02,340.00
0.80,3.13,360.00
0.80,3.24,380.00
0.80,3.35,400.00
0.80,3.46,420.00
0.80,3.57,440.00
0.80,3.67,460.00
0.80,3.78,480.00
0.80,3.88,500.00
0.80,3.98,520.00
0.80,4.09,540.00
0.80,4.19,560.00
0.80,4.29,580.00
0.80,4.39,600.00
0.80,4.49,620.00
0.90,0.90,0.00
0.90,0.93,20.00
0.90,1.02,40.00
0.90,1.14,60.00
0.90,1.28,80.00
0.90,1.44,100.00
0.90,1.59,120.00
0.90,1.74,140.00
0.90,1.89,160.00
0.90,2.03,180.00
0.90,2.16,200.00
0.90,2.29,220.00
0.90,2.42,240.00
0.90,2.55,260.00
0.90,2.67,280.00
0.90,2.79,300.00
0.90,2.90,320.00
0.90,3.02,340.00
0.90,3.13,360.00
0.90,3.24,380.00
0.90,3.35,400.00
0.90,3.46,420.00
0.90,3.57,440.00
0.90,3.67,460.00
0.90,3.78,480.00
0.90,3.88,500.00
0.90,3.98,520.00
0.90,4.09,540.00
0.90,4.19,560.00
0.90,4.29,580.00
0.90,4.39,600.00
0.90,4.49,620.00
1.00,1.00,0.00
1.00,1.02,20.00
1.00,1.09,40.00
1.00,1.19,60.00
1.00,1.32,80.00
1.00,1.46,100.00
1.00,1.60,120.00
1.00,1.74,140.00
1.00,1.89,160.00
1.00,2.03,180.00
1.00,2.16,200.00
1.00,2.29,220.00
1.00,2.42,240.00
1.00,2.55,260.00
1.00,2.67,280.00
1.00,2.79,300.00
1.00,2.90,320.00
1.00,3.02,340.00
1.00,3.13,360.00
1.00,3.24,380.00
1.00,3.35,400.00
1.00,3.46,420.00
1.00,3.57,440.00
1.00,3.67,460.00
1.00,3.78,480.00
1.00,3.88,500.00
1.00,3.98,520.00
1.00,4.09,540.00
1.00,4.19,560.00
1.00,4.29,580.00
1.00,4.39,600.00
1.00,4.49,620.00
1.10,1.10,0.00
1.10,1.12,20.00
1.10,1.17,40.00
1.10,1.26,60.00
1.10,1.36,80.00
1.10,1.49,100.00
1.10,1.62,120.00
1.10,1.75,140.00
1.10,1.89,160.00
1.10,2.03,180.00
1.10,2.16,200.00
1.10,2.29,220.00
1.10,2.42,240.00
1.10,2.55,260.00
1.10,2.67,280.00
1.10,2.79,300.00
1.10,2.90,320.00
1.10,3.02,340.00
1.10,3.13,360.00
1.10,3.24,380.00
1.10,3.35,400.00
1.10,3.46,420.00
1.10,3.57,440.00
1.10,3.67,460.00
1.10,3.78,480.00
1.10,3.88,500.00
1.10,3.98,520.00
1.10,4.09,540.00
1.10,4.19,560.00
1.10,4.29,580.00
1.10,4.39,600.00
1.10,4.49,620.00
1.20,1.20,0.00
1.20,1.22,20.00
1.20,1.26,40.00
1.20,1.33,60.00
1.20,1.42,80.00
1.20,1.53,100.00
1.20,1.65,120.00
1.20,1.77,140.00
1.20,1.90,160.00
1.20,2.03,180.00
1.20,2.16,200.00
1.20,2.29,220.00
1.20,2.42,240.00
1.20,2.55,260.00
1.20,2.67,280.00
1.20,2.79,300.00
1.20,2.90,320.00
1.20,3.02,340.00
1.20,3.13,360.00
1.20,3.24,380.00
1.20,3.35,400.00
1.20,3.46,420.00
1.20,3.57,440.00
1.20,3.67,460.00
1.20,3.78,480.00
1.20,3.88,500.00
1.20,3.98,520.00
1.20,4.09,540.00
1.20,4.19,560.00
1.20,4.29,580.00
1.20,4.39,600.00
1.20,4.49,620.00
1.30,1.30,0.00
1.30,1.31,20.00
1.30,1.35,40.00
1.30,1.41,60.00
1.30,1.48,80.00
1.30,1.58,100.00
1.30,1.68,120.00
1.30,1.80,140.00
1.30,1.92,160.00
1.30,2.04,180.00
1.30,2.17,200.00
1.30,2.30,220.00
1.30,2.42,240.00
1.30,2.55,260.00
1.30,2.67,280.00
1.30,2.79,300.00
1.30,2.90,320.00
1.30,3.02,340.00
1.30,3.13,360.00
1.30,3.24,380.00
1.30,3.35,400.00
1.30,3.46,420.00
1.30,3.57,440.00
1.30,3.67,460.00
1.30,3.78,480.00
1.30,3.88,500.00
1.30,3.98,520.00
1.30,4.09,540.00
1.30,4.19,560.00
1.30,4.29,580.00
1.30,4.39,600.00
1.30,4.49,620.00
1.40,1.40,0.00
1.40,1.41,20.00
1.40,1.44,40.00
1.40,1.49,60.00
1.40,1.56,80.00
1.40,1.64,100.00
1.40,1.73,120.00
1.40,1.84,140.00
1.40,1.95,160.00
1.40,2.06,180.00
1.40,2.18,200.00
1.40,2.30,220.00
1.40,2.42,240.00
1.40,2.55,260.00
1.40,2.67,280.00
1.40,2.79,300.00
1.40,2.90,320.00
1.40,3.02,340.00
1.40,3.13,360.00
1.40,3.24,380.00
1.40,3.35,400.00
1.40,3.46,420.00
1.40,3.57,440.00
1.40,3.67,460.00
1.40,3.78,480.00
1.40,3.88,500.00
1.40,3.98,520.00
1.40,4.09,540.00
1.40,4.19,560.00
1.40,4.29,580.00
1.40,4.39,600.00
1.40,4.49,620.00
1.50,1.50,0.00
1.50,1.51,20.00
1.50,1.53,40.00
1.50,1.58,60.00
1.50,1.63,80.00
1.50,1.71,100.00
1.50,1.79,120.00
1.50,1.88,140.00
1.50,1.98,160.00
1.50,2.09,180.00
1.50,2.20,200.00
1.50,2.32,220.00
1.50,2.43,240.00
1.50,2.55,260.00
1.50,2.67,280.00
1.50,2.79,300.00
